Symptom,Hypertension,Coronary artery disease,Heart attack (Myocardial infarction),Heart failure,Arrhythmia,Peripheral artery disease,Stroke,Atherosclerosis,Atrial fibrillation,Deep vein thrombosis (DVT),Asthma,Chronic obstructive pulmonary disease (COPD),Pneumonia,Bronchitis,Tuberculosis,Pulmonary embolism,Lung cancer,Cystic fibrosis,Sleep apnea,Influenza (Flu),Alzheimer’s disease,Parkinson’s disease,Epilepsy,Migraine,Multiple sclerosis (MS),Amyotrophic lateral sclerosis (ALS),Dementia,Peripheral neuropathy,Bell’s palsy,Stroke (neurological),Diabetes mellitus (Type 1 & Type 2),Hypothyroidism,Hyperthyroidism,Cushing’s syndrome,Addison’s disease,Polycystic ovary syndrome (PCOS),Metabolic syndrome,Obesity,Gout,Hypoglycemia,Common cold,COVID-19,"Hepatitis A, B, or C",HIV/AIDS,Malaria,Lyme disease,Chickenpox (Varicella),Measles,Mumps,Rubella,Rheumatoid arthritis,Lupus (Systemic lupus erythematosus),Psoriasis,Celiac disease,Crohn’s disease,Ulcerative colitis,Ankylosing spondylitis,Graves’ disease,Sjögren’s syndrome,Scleroderma,Gastroesophageal reflux disease (GERD),Peptic ulcer disease,Irritable bowel syndrome (IBS),Gallstones,Pancreatitis,Liver cirrhosis,Hepatitis,Constipation,Hemorrhoids,Gastritis,Osteoarthritis,Osteoporosis,Fibromyalgia,Back pain,Scoliosis,Tendonitis,Carpal tunnel syndrome,Bursitis,Gout (musculoskeletal),Fractures,Cataracts,Glaucoma,Macular degeneration,Conjunctivitis (Pink eye),Tinnitus,Hearing loss,Meniere’s disease,Dry eye syndrome,Retinal detachment,Ear infection (Otitis media),Acne,Eczema (Atopic dermatitis),Psoriasis (skin),Rosacea,"Skin cancer (Melanoma, BCC, SCC)",Warts,Fungal infections,Hives (Urticaria),Shingles (Herpes zoster),Vitiligo
Trouble sleeping,0.032,0.054,0.051,0.087,0.059,0.048,0.079,0.044,0.01,0.092,0.037,0.057,0.044,0.033,0.016,0.073,0.047,0.013,0.019,0.1,0.052,0.095,0.067,0.028,0.058,0.084,0.093,0.047,0.034,0.098,0.097,0.013,0.07,0.059,0.022,0.098,0.011,0.023,0.048,0.048,0.094,0.056,0.019,0.067,0.071,0.051,0.058,0.062,0.063,0.081,0.093,0.062,0.062,0.014,0.055,0.033,0.078,0.093,0.087,0.066,0.072,0.01,0.026,0.056,0.079,0.035,0.065,0.051,0.034,0.039,0.096,0.02,0.6,0.085,0.079,0.058,0.09,0.022,0.054,0.051,0.09,0.012,0.097,0.083,0.096,0.099,0.081,0.078,0.086,0.084,0.08,0.079,0.013,0.037,0.029,0.055,0.057,0.016,0.054,0.059
Loss of balance,0.3,0.077,0.097,0.03,0.031,0.046,0.4,0.05,0.085,0.018,0.075,0.064,0.066,0.02,0.096,0.027,0.084,0.089,0.097,0.027,0.021,0.022,0.034,0.025,0.014,0.034,0.069,0.025,0.088,0.09,0.065,0.075,0.042,0.052,0.011,0.078,0.016,0.015,0.072,0.072,0.085,0.034,0.061,0.024,0.043,0.08,0.086,0.068,0.015,0.053,0.065,0.019,0.067,0.023,0.078,0.059,0.052,0.063,0.076,0.053,0.077,0.098,0.088,0.062,0.028,0.026,0.017,0.055,0.037,0.023,0.036,0.034,0.09,0.068,0.029,0.048,0.02,0.085,0.015,0.027,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.094,0.024,0.013,0.064,0.08,0.031,0.09,0.047,0.022,0.061,0.028
Irregular breathing,0.096,0.063,0.011,0.052,0.064,0.013,0.019,0.032,0.04,0.082,0.097,0.012,0.052,0.065,0.018,0.078,0.013,0.051,0.15,0.02,0.059,0.044,0.014,0.056,0.09,0.069,0.055,0.027,0.012,0.084,0.038,0.093,0.08,0.077,0.081,0.1,0.02,0.025,0.083,0.097,0.053,0.011,0.033,0.032,0.015,0.098,0.084,0.078,0.036,0.081,0.091,0.027,0.023,0.068,0.011,0.041,0.029,0.063,0.078,0.023,0.076,0.094,0.076,0.063,0.037,0.084,0.082,0.053,0.026,0.066,0.029,0.026,0.068,0.042,0.018,0.093,0.052,0.017,0.052,0.084,0.075,0.012,0.097,0.022,0.095,0.084,0.042,0.059,0.02,0.013,0.02,0.062,0.02,0.096,0.058,0.093,0.018,0.082,0.059,0.046
Snoring,0.078,0.036,0.065,0.058,0.047,0.053,0.049,0.089,0.098,0.071,0.021,0.052,0.1,0.092,0.055,0.034,0.051,0.012,0.85,0.049,0.069,0.098,0.098,0.02,0.013,0.036,0.086,0.022,0.049,0.014,0.046,0.076,0.079,0.094,0.079,0.095,0.028,0.065,0.076,0.022,0.028,0.039,0.031,0.059,0.056,0.034,0.095,0.014,0.024,0.03,0.097,0.047,0.035,0.027,0.074,0.011,0.016,0.025,0.077,0.054,0.094,0.023,0.011,0.091,0.01,0.029,0.03,0.015,0.012,0.057,0.032,0.036,0.074,0.046,0.032,0.02,0.01,0.056,0.061,0.08,0.1,0.021,0.021,0.082,0.012,0.096,0.087,0.045,0.078,0.066,0.084,0.022,0.055,0.094,0.077,0.062,0.058,0.08,0.075,0.077
Daytime sleepiness,0.066,0.045,0.059,0.076,0.037,0.099,0.096,0.095,0.088,0.059,0.053,0.033,0.032,0.015,0.093,0.083,0.098,0.056,0.7,0.032,0.021,0.019,0.085,0.096,0.017,0.019,0.089,0.039,0.07,0.06,0.043,0.033,0.055,0.078,0.097,0.038,0.098,0.027,0.033,0.086,0.011,0.043,0.039,0.032,0.047,0.013,0.039,0.095,0.065,0.033,0.062,0.073,0.088,0.049,0.023,0.015,0.015,0.022,0.089,0.075,0.083,0.074,0.059,0.018,0.056,0.093,0.069,0.056,0.064,0.079,0.097,0.023,0.6,0.023,0.058,0.055,0.016,0.034,0.039,0.022,0.03,0.092,0.067,0.027,0.038,0.096,0.03,0.1,0.012,0.037,0.024,0.019,0.079,0.096,0.06,0.04,0.059,0.072,0.094,0.067
Restless legs,0.081,0.098,0.041,0.012,0.07,0.09,0.02,0.013,0.052,0.026,0.015,0.048,0.012,0.018,0.061,0.057,0.051,0.013,0.075,0.077,0.026,0.099,0.021,0.076,0.093,0.048,0.042,0.021,0.069,0.034,0.058,0.044,0.055,0.049,0.078,0.03,0.083,0.09,0.092,0.078,0.038,0.075,0.097,0.037,0.026,0.023,0.05,0.099,0.087,0.037,0.084,0.012,0.066,0.04,0.011,0.055,0.077,0.066,0.028,0.076,0.054,0.023,0.031,0.06,0.048,0.054,0.047,0.025,0.095,0.078,0.077,0.021,0.051,0.3,0.045,0.099,0.056,0.086,0.073,0.045,0.042,0.073,0.046,0.024,0.022,0.099,0.096,0.066,0.05,0.1,0.087,0.05,0.087,0.034,0.066,0.053,0.085,0.07,0.062,0.068
Muscle spasms,0.043,0.013,0.098,0.02,0.056,0.055,0.054,0.037,0.023,0.031,0.088,0.083,0.038,0.038,0.048,0.077,0.044,0.024,0.02,0.018,0.081,0.049,0.033,0.076,0.042,0.042,0.062,0.025,0.097,0.069,0.035,0.035,0.084,0.079,0.019,0.074,0.054,0.028,0.06,0.058,0.052,0.01,0.07,0.031,0.03,0.071,0.081,0.055,0.088,0.083,0.075,0.058,0.035,0.082,0.058,0.099,0.046,0.088,0.012,0.086,0.083,0.099,0.026,0.024,0.089,0.038,0.069,0.035,0.082,0.027,0.088,0.021,0.046,0.038,0.077,0.058,0.01,0.095,0.055,0.019,0.076,0.089,0.045,0.099,0.028,0.016,0.073,0.019,0.05,0.085,0.066,0.092,0.014,0.018,0.035,0.094,0.029,0.093,0.053,0.021
Feeling faint,0.02,0.072,0.077,0.063,0.052,0.069,0.047,0.08,0.019,0.067,0.045,0.093,0.078,0.095,0.072,0.066,0.078,0.015,0.056,0.019,0.068,0.086,0.067,0.084,0.04,0.043,0.011,0.021,0.029,0.049,0.03,0.058,0.074,0.012,0.093,0.06,0.071,0.085,0.057,0.01,0.022,0.052,0.078,0.074,0.052,0.095,0.02,0.012,0.072,0.02,0.065,0.098,0.024,0.09,0.071,0.089,0.063,0.099,0.033,0.054,0.021,0.028,0.04,0.03,0.05,0.048,0.088,0.091,0.011,0.082,0.059,0.071,0.074,0.043,0.042,0.088,0.055,0.011,0.069,0.07,0.036,0.082,0.022,0.089,0.097,0.025,0.084,0.045,0.013,0.099,0.064,0.079,0.06,0.086,0.033,0.07,0.012,0.082,0.071,0.042
Loss of consciousness,0.3,0.072,0.032,0.086,0.092,0.043,0.077,0.089,0.023,0.039,0.076,0.085,0.091,0.084,0.045,0.01,0.093,0.03,0.043,0.098,0.096,0.068,0.6,0.09,0.024,0.086,0.073,0.073,0.066,0.088,0.062,0.036,0.087,0.055,0.03,0.011,0.092,0.076,0.064,0.083,0.083,0.038,0.031,0.023,0.043,0.016,0.053,0.043,0.083,0.06,0.045,0.036,0.074,0.032,0.07,0.094,0.088,0.031,0.059,0.018,0.039,0.084,0.089,0.035,0.055,0.033,0.099,0.054,0.084,0.063,0.048,0.096,0.039,0.032,0.04,0.077,0.092,0.02,0.059,0.017,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.024,0.087,0.068,0.079,0.083,0.052,0.03,0.045,0.024,0.081,0.049
Hallucinations,0.076,0.099,0.079,0.048,0.052,0.023,0.042,0.05,0.012,0.028,0.084,0.052,0.043,0.082,0.078,0.053,0.1,0.078,0.053,0.075,0.029,0.054,0.038,0.031,0.011,0.027,0.05,0.084,0.086,0.055,0.039,0.051,0.026,0.014,0.061,0.04,0.079,0.045,0.058,0.098,0.09,0.027,0.056,0.037,0.014,0.047,0.033,0.011,0.069,0.044,0.029,0.053,0.016,0.085,0.029,0.04,0.075,0.097,0.046,0.048,0.022,0.064,0.03,0.058,0.075,0.085,0.065,0.047,0.07,0.013,0.034,0.093,0.057,0.045,0.071,0.026,0.072,0.08,0.08,0.033,0.041,0.012,0.057,0.085,0.079,0.053,0.062,0.077,0.096,0.039,0.087,0.049,0.033,0.011,0.027,0.069,0.039,0.051,0.076,0.055
Delusions,0.089,0.055,0.041,0.033,0.049,0.017,0.073,0.012,0.085,0.057,0.023,0.026,0.029,0.046,0.085,0.051,0.029,0.015,0.026,0.095,0.023,0.019,0.079,0.085,0.085,0.069,0.054,0.065,0.097,0.02,0.025,0.08,0.024,0.089,0.043,0.036,0.085,0.046,0.06,0.013,0.026,0.019,0.048,0.062,0.029,0.087,0.026,0.013,0.026,0.047,0.096,0.061,0.059,0.019,0.098,0.034,0.071,0.034,0.085,0.015,0.059,0.088,0.051,0.09,0.078,0.093,0.083,0.017,0.093,0.05,0.08,0.09,0.072,0.095,0.036,0.028,0.027,0.085,0.027,0.093,0.044,0.03,0.02,0.083,0.024,0.035,0.05,0.098,0.092,0.01,0.03,0.061,0.077,0.078,0.039,0.015,0.089,0.065,0.065,0.099
Slurred speech,0.039,0.073,0.03,0.064,0.021,0.073,0.6,0.054,0.059,0.018,0.091,0.021,0.045,0.041,0.014,0.098,0.061,0.049,0.021,0.049,0.048,0.2,0.04,0.025,0.088,0.06,0.037,0.098,0.063,0.034,0.077,0.063,0.012,0.075,0.056,0.059,0.037,0.01,0.077,0.099,0.078,0.086,0.012,0.014,0.011,0.074,0.019,0.096,0.086,0.064,0.025,0.079,0.091,0.08,0.095,0.089,0.031,0.013,0.033,0.062,0.013,0.03,0.091,0.041,0.027,0.029,0.011,0.025,0.042,0.014,0.083,0.092,0.082,0.041,0.098,0.02,0.09,0.03,0.04,0.04,0.075,0.091,0.03,0.046,0.055,0.06,0.06,0.073,0.029,0.027,0.08,0.027,0.025,0.086,0.045,0.025,0.048,0.011,0.058,0.041
Difficulty understanding speech,0.077,0.058,0.068,0.021,0.085,0.081,0.4,0.018,0.089,0.015,0.08,0.078,0.045,0.092,0.065,0.065,0.096,0.021,0.032,0.055,0.028,0.053,0.038,0.043,0.024,0.092,0.045,0.064,0.088,0.068,0.061,0.091,0.041,0.099,0.019,0.022,0.046,0.017,0.031,0.053,0.031,0.046,0.095,0.087,0.035,0.039,0.07,0.056,0.093,0.033,0.019,0.092,0.073,0.09,0.048,0.05,0.079,0.012,0.061,0.024,0.077,0.058,0.034,0.089,0.034,0.027,0.073,0.016,0.072,0.087,0.042,0.039,0.034,0.075,0.023,0.062,0.019,0.031,0.086,0.057,0.05,0.093,0.051,0.023,0.052,0.098,0.044,0.077,0.087,0.024,0.018,0.059,0.074,0.033,0.082,0.039,0.094,0.081,0.063,0.076
Facial drooping,0.097,0.037,0.059,0.054,0.049,0.067,0.6,0.028,0.029,0.031,0.025,0.063,0.06,0.042,0.042,0.066,0.015,0.041,0.074,0.07,0.096,0.035,0.09,0.04,0.055,0.081,0.076,0.058,0.9,0.059,0.098,0.039,0.049,0.081,0.022,0.081,0.012,0.056,0.046,0.021,0.063,0.025,0.037,0.03,0.08,0.089,0.076,0.017,0.063,0.025,0.024,0.027,0.042,0.078,0.058,0.042,0.082,0.094,0.047,0.078,0.099,0.05,0.06,0.027,0.078,0.089,0.068,0.018,0.095,0.081,0.032,0.035,0.036,0.062,0.063,0.081,0.064,0.069,0.045,0.085,0.05,0.022,0.046,0.034,0.085,0.041,0.086,0.097,0.043,0.027,0.016,0.085,0.068,0.012,0.031,0.017,0.076,0.018,0.03,0.043
Trouble swallowing,0.028,0.066,0.022,0.037,0.052,0.018,0.063,0.044,0.011,0.014,0.097,0.094,0.023,0.054,0.013,0.046,0.046,0.093,0.077,0.085,0.015,0.098,0.088,0.045,0.03,0.057,0.095,0.011,0.062,0.031,0.026,0.034,0.018,0.084,0.069,0.087,0.071,0.029,0.088,0.028,0.047,0.011,0.094,0.066,0.035,0.018,0.049,0.022,0.028,0.019,0.041,0.091,0.036,0.092,0.028,0.026,0.052,0.091,0.057,0.053,0.048,0.093,0.013,0.087,0.029,0.033,0.036,0.066,0.014,0.035,0.049,0.016,0.04,0.041,0.056,0.05,0.1,0.085,0.054,0.065,0.027,0.037,0.026,0.089,0.036,0.03,0.038,0.079,0.017,0.055,0.03,0.041,0.08,0.082,0.055,0.045,0.033,0.061,0.1,0.025
Drooling,0.089,0.08,0.043,0.03,0.086,0.022,0.06,0.014,0.072,0.026,0.056,0.076,0.034,0.069,0.098,0.01,0.041,0.055,0.04,0.09,0.053,0.095,0.026,0.045,0.035,0.039,0.063,0.011,0.082,0.062,0.03,0.058,0.034,0.048,0.037,0.086,0.067,0.076,0.036,0.051,0.096,0.057,0.035,0.051,0.046,0.044,0.059,0.051,0.069,0.087,0.089,0.033,0.047,0.052,0.071,0.045,0.031,0.06,0.083,0.097,0.016,0.069,0.089,0.018,0.044,0.057,0.065,0.013,0.015,0.051,0.093,0.025,0.086,0.011,0.057,0.04,0.073,0.068,0.085,0.045,0.036,0.031,0.047,0.089,0.013,0.091,0.031,0.032,0.034,0.048,0.056,0.029,0.046,0.068,0.07,0.012,0.046,0.073,0.09,0.021
Jaw pain,0.4,0.026,0.027,0.047,0.087,0.092,0.068,0.08,0.065,0.079,0.051,0.068,0.049,0.03,0.078,0.071,0.083,0.014,0.052,0.028,0.047,0.037,0.083,0.073,0.072,0.088,0.055,0.053,0.046,0.077,0.038,0.099,0.039,0.012,0.07,0.037,0.022,0.085,0.6,0.015,0.068,0.06,0.6,0.079,0.059,0.046,0.075,0.013,0.5,0.027,0.016,0.4,0.079,0.062,0.097,0.091,0.011,0.027,0.083,0.062,0.6,0.7,0.8,0.7,0.3,0.3,0.024,0.4,0.5,0.6,0.097,0.6,0.9,0.3,0.5,0.8,0.093,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.018,0.079,0.096,0.037,0.099,0.064,0.012,0.035,0.08,0.8,0.048
